chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
103,,15,0,19,14,0.6041666666666666,0.6039947894051237
104,,24,1,8,15,0.8125,0.8056680161943319
105,,17,0,12,19,0.75,0.7495652173913043
106,,15,1,14,18,0.6875,0.6862745098039216
107,,17,0,15,15,0.6808510638297872,0.6802721088435374
108,,15,0,13,20,0.7291666666666666,0.7261956998683634
109,,19,1,16,12,0.6458333333333334,0.6381374722838138
110,,17,0,14,17,0.7083333333333334,0.7083333333333334
111,,23,1,12,12,0.7291666666666666,0.7141548327989007
112,,34,0,8,6,0.8333333333333334,0.7473684210526316
113,,21,1,15,11,0.6666666666666666,0.6515426497277677
114,,17,0,14,17,0.7083333333333334,0.7083333333333334
115,,16,0,14,18,0.7083333333333334,0.7078260869565217
116,,20,2,16,10,0.625,0.6079854809437386
117,,16,0,14,18,0.7083333333333334,0.7078260869565217
118,,20,0,15,13,0.6875,0.6807095343680709
119,,18,0,20,10,0.5833333333333334,0.5714285714285714
120,,18,1,14,15,0.6875,0.6862745098039216
121,,25,0,13,10,0.7291666666666666,0.6998556998556998
122,,20,0,17,11,0.6458333333333334,0.6329284750337382
123,,19,2,18,9,0.5833333333333334,0.5644283121597096
124,,27,0,18,3,0.625,0.5
125,,26,4,12,6,0.6666666666666666,0.5966386554621849
126,,23,4,9,12,0.7291666666666666,0.7141548327989007
127,,17,1,12,17,0.723404255319149,0.723404255319149
128,,23,0,13,12,0.7291666666666666,0.7141548327989007
129,,17,0,16,15,0.6666666666666666,0.6660869565217391
130,,20,2,16,10,0.625,0.6079854809437386
131,,25,0,13,10,0.7291666666666666,0.6998556998556998
132,,33,0,9,6,0.8125,0.7257142857142858
133,,19,1,18,10,0.6041666666666666,0.5897435897435896
134,,21,1,19,7,0.5833333333333334,0.5445920303605313
135,,16,0,18,14,0.625,0.6243478260869566
136,,16,0,22,10,0.5416666666666666,0.5343915343915344
137,,22,4,18,4,0.5416666666666666,0.4666666666666667
138,,16,0,20,12,0.5833333333333334,0.5804195804195804
139,,25,0,13,10,0.7291666666666666,0.6998556998556998
140,,30,7,6,5,0.7291666666666666,0.6283502084574151
141,,37,6,3,0,0.8043478260869565,0.4457831325301205
142,,30,1,8,8,0.8085106382978723,0.7547826086956522
143,,23,0,12,13,0.75,0.7386569872958257
144,,26,5,14,3,0.6041666666666666,0.48619718309859156
145,,30,0,13,4,0.723404255319149,0.6014350945857795
146,,28,0,13,7,0.7291666666666666,0.6650563607085347
147,,15,1,22,10,0.5208333333333334,0.515577007459412
148,,26,1,18,3,0.6041666666666666,0.48619718309859156
149,,27,0,15,5,0.6808510638297872,0.591304347826087
150,,18,0,20,10,0.5833333333333334,0.5714285714285714
151,,27,0,17,4,0.6458333333333334,0.540281690140845
152,,27,0,16,4,0.6595744680851063,0.5523809523809524
153,,20,0,20,8,0.5833333333333334,0.5555555555555556
154,,30,0,14,4,0.7083333333333334,0.5872235872235873
155,,29,0,18,1,0.625,0.43157894736842106
156,,16,0,22,10,0.5416666666666666,0.5343915343915344
157,,16,0,23,9,0.5208333333333334,0.5104212860310421
158,,22,0,22,4,0.5416666666666666,0.4666666666666667
159,,18,0,20,10,0.5833333333333334,0.5714285714285714
160,,17,0,16,15,0.6666666666666666,0.6660869565217391
161,,23,1,15,9,0.6666666666666666,0.6356736242884251
162,,19,3,16,9,0.5957446808510638,0.5765765765765766
163,,19,0,17,12,0.6458333333333334,0.6381374722838138
164,,18,0,19,11,0.6041666666666666,0.5955654101995566
165,,30,3,14,1,0.6458333333333334,0.44224196855775805
166,,20,0,15,13,0.6875,0.6807095343680709
167,,22,0,15,11,0.6875,0.6701786532295007
168,,17,0,16,15,0.6666666666666666,0.6660869565217391
169,,21,2,20,4,0.5319148936170213,0.4614583333333333
170,,18,0,15,14,0.6808510638297872,0.6785225718194254
171,,18,0,16,14,0.6666666666666666,0.6643356643356644
172,,23,3,15,7,0.625,0.578125
173,,16,0,17,15,0.6458333333333334,0.6456795484151108
174,,23,0,9,15,0.8085106382978723,0.8027972027972028
175,,21,1,15,11,0.6666666666666666,0.6515426497277677
176,,22,1,16,9,0.6458333333333334,0.6177985948477751
177,,14,0,17,17,0.6458333333333334,0.6444444444444444
178,,15,0,11,22,0.7708333333333334,0.7658536585365854
179,,19,2,15,11,0.6382978723404256,0.6275058275058275
180,,15,0,11,22,0.7708333333333334,0.7658536585365854
181,,14,0,9,25,0.8125,0.8021071919377004
182,,15,0,17,16,0.6458333333333334,0.6456795484151108
183,,15,1,14,18,0.6875,0.6862745098039216
184,,14,0,12,22,0.75,0.7428571428571429
185,,12,0,11,25,0.7708333333333334,0.7526932084309134
186,,16,1,23,8,0.5,0.4857142857142857
187,,15,0,14,19,0.7083333333333334,0.7062937062937062
188,,14,0,12,22,0.75,0.7428571428571429
189,,15,0,18,15,0.625,0.625
190,,16,0,18,13,0.6170212765957447,0.6154545454545455
191,,14,0,12,22,0.75,0.7428571428571429
192,,13,0,17,18,0.6458333333333334,0.6419482229047828
193,,17,1,13,17,0.7083333333333334,0.7083333333333334
194,,14,0,15,19,0.6875,0.6840719613865731
195,,14,0,19,14,0.5957446808510638,0.5957446808510638
196,,15,0,14,19,0.7083333333333334,0.7062937062937062
