chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
198,,7,10,7,24,0.6458333333333334,0.5950372208436725
199,,12,0,11,25,0.7708333333333334,0.7526932084309134
200,,33,0,7,8,0.8541666666666666,0.7998808814770697
201,,17,0,17,14,0.6458333333333334,0.6444444444444444
202,,8,4,18,18,0.5416666666666666,0.5208711433756805
203,,9,8,16,15,0.5,0.4920634920634921
204,,15,1,15,17,0.6666666666666666,0.6660869565217391
205,,15,0,18,15,0.625,0.625
206,,12,0,21,15,0.5625,0.5607843137254902
207,,12,0,26,10,0.4583333333333333,0.45739130434782604
208,,14,0,22,12,0.5416666666666666,0.5408695652173914
209,,17,0,7,24,0.8541666666666666,0.8509977827050997
210,,10,3,2,33,0.8958333333333334,0.8647887323943662
211,,20,0,15,13,0.6875,0.6807095343680709
212,,16,0,13,19,0.7291666666666666,0.7281045751633988
213,,10,2,5,31,0.8541666666666666,0.8196457326892109
214,,8,5,2,33,0.8541666666666666,0.7998808814770697
215,,15,0,24,9,0.5,0.4920634920634921
216,,12,0,22,14,0.5416666666666666,0.5408695652173914
217,,13,0,13,22,0.7291666666666666,0.7192982456140351
218,,18,0,17,13,0.6458333333333334,0.6419482229047828
219,,15,0,10,23,0.7916666666666666,0.7857142857142857
220,,14,3,14,17,0.6458333333333334,0.6444444444444444
221,,13,1,2,32,0.9375,0.925887802367473
222,,13,0,9,26,0.8125,0.7976580796252928
223,,12,0,11,25,0.7708333333333334,0.7526932084309134
224,,4,8,2,34,0.7916666666666666,0.6581196581196581
225,,13,0,13,22,0.7291666666666666,0.7192982456140351
226,,17,0,13,18,0.7291666666666666,0.7290490664350847
227,,10,2,9,27,0.7708333333333334,0.7379652605459057
228,,8,6,5,29,0.7708333333333334,0.71658615136876
229,,15,0,17,16,0.6458333333333334,0.6456795484151108
230,,12,0,8,28,0.8333333333333334,0.8125
231,,12,0,7,29,0.8541666666666666,0.8332506203473946
232,,11,1,7,29,0.8333333333333334,0.806060606060606
233,,0,12,3,33,0.6875,0.4074074074074074
234,,3,9,6,30,0.6875,0.5428571428571429
235,,15,0,6,27,0.875,0.8666666666666667
236,,8,4,11,25,0.6875,0.6426799007444168
237,,7,5,4,32,0.8125,0.7427039904705182
238,,10,2,5,31,0.8541666666666666,0.8196457326892109
239,,11,2,16,19,0.625,0.6142857142857143
240,,14,0,11,23,0.7708333333333334,0.7624831309041835
241,,11,1,8,28,0.8125,0.7856079404466502
242,,10,1,20,17,0.5625,0.5529933481152993
243,,12,0,15,21,0.6875,0.6761133603238867
244,,14,0,9,25,0.8125,0.8021071919377004
245,,13,0,30,5,0.375,0.35714285714285715
246,,11,0,25,12,0.4791666666666667,0.47894051237516283
247,,11,1,9,27,0.7916666666666666,0.765625
248,,12,0,7,29,0.8541666666666666,0.8332506203473946
249,,12,1,16,19,0.6458333333333334,0.6381374722838138
250,,12,0,20,16,0.5833333333333334,0.5804195804195804
251,,12,0,16,20,0.6666666666666666,0.6571428571428571
252,,12,0,13,23,0.7291666666666666,0.7141548327989007
253,,14,0,17,17,0.6458333333333334,0.6444444444444444
254,,12,0,18,18,0.625,0.6190476190476191
255,,13,0,15,20,0.6875,0.6807095343680709
256,,10,2,13,23,0.6875,0.6627634660421545
257,,13,0,16,19,0.6666666666666666,0.6613756613756614
258,,12,0,8,28,0.8333333333333334,0.8125
259,,13,0,15,20,0.6875,0.6807095343680709
260,,13,0,24,11,0.5,0.4991304347826087
261,,12,0,14,22,0.7083333333333334,0.6950998185117967
262,,11,0,15,22,0.6875,0.6701786532295007
263,,11,0,27,10,0.4375,0.43725575336517586
264,,12,0,14,22,0.7083333333333334,0.6950998185117967
265,,12,0,8,28,0.8333333333333334,0.8125
266,,13,1,9,25,0.7916666666666666,0.7777777777777778
267,,16,0,26,6,0.4583333333333333,0.4337568058076225
268,,13,0,19,16,0.6041666666666666,0.6026143790849673
269,,14,0,19,15,0.6041666666666666,0.6039947894051237
270,,12,1,17,18,0.625,0.6190476190476191
271,,13,0,8,27,0.8333333333333334,0.8178368121442126
272,,12,0,12,24,0.75,0.7333333333333334
273,,9,3,10,26,0.7291666666666666,0.6903225806451614
274,,14,0,17,17,0.6458333333333334,0.6444444444444444
275,,15,0,17,16,0.6458333333333334,0.6456795484151108
276,,12,0,9,27,0.8125,0.7922077922077921
277,,8,5,5,30,0.7916666666666666,0.7362637362637363
278,,14,0,8,26,0.8333333333333334,0.8222222222222222
279,,14,0,14,20,0.7083333333333334,0.7037037037037037
