chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
213,2020-09-11,19,7,0,7,9,1,9,20,7,0.4430379746835443,0.42691842645446104
214,2020-09-12,38,2,0,10,3,1,10,16,1,0.5185185185185185,0.3386347642505278
215,2020-09-13,23,9,0,5,18,1,12,53,4,0.36,0.36438361438361433
216,2020-09-14,43,10,0,2,12,1,2,13,3,0.6744186046511628,0.5375757575757575
217,2020-09-15,21,5,0,4,24,0,3,28,4,0.550561797752809,0.5158706217529747
218,2020-09-16,15,2,0,1,13,0,3,34,7,0.4666666666666667,0.5068471833177716
219,2020-09-17,14,2,0,4,11,0,2,21,1,0.4727272727272727,0.43558578987150415
220,2020-09-18,24,5,1,3,8,0,5,13,7,0.5909090909090909,0.5436228016873178
221,2020-09-19,9,5,0,1,6,0,3,11,2,0.4594594594594595,0.4342273307790549
222,2020-09-20,20,9,2,4,10,1,12,14,0,0.4166666666666667,0.337893864013267
223,2020-09-21,14,3,0,0,17,1,7,9,1,0.6153846153846154,0.5218365061590146
224,2020-09-22,19,1,0,2,10,0,8,15,3,0.5517241379310345,0.5029075150931516
225,2020-09-23,18,8,0,5,9,1,6,19,4,0.44285714285714284,0.41426024955436724
226,2020-09-24,19,10,0,3,6,1,9,18,5,0.4225352112676056,0.389739500265816
227,2020-09-25,14,5,1,4,9,2,0,27,4,0.4090909090909091,0.42293233082706766
228,2020-09-26,22,1,0,3,9,0,9,29,7,0.475,0.46470059008758696
229,2020-09-27,25,6,0,6,4,1,2,11,0,0.5272727272727272,0.34375
230,2020-09-28,18,5,0,2,8,0,7,13,2,0.509090909090909,0.4437037037037037
231,2020-09-29,24,3,1,1,8,0,1,23,4,0.5538461538461539,0.501135384856315
232,2020-09-30,22,6,0,1,7,0,2,6,1,0.6666666666666666,0.5162357325879338
233,2020-10-01,20,7,0,6,9,0,3,8,1,0.5555555555555556,0.44322344322344326
234,2020-10-02,18,7,2,2,7,1,4,13,5,0.5084745762711864,0.47253135488429604
235,2020-10-03,30,12,3,2,10,0,4,12,6,0.5822784810126582,0.5208733745433137
236,2020-10-04,31,14,1,1,7,1,1,16,2,0.5405405405405406,0.42102366538249864
237,2020-10-05,26,5,0,5,6,1,2,13,4,0.5806451612903226,0.4930555555555555
238,2020-10-06,20,4,0,1,10,1,16,12,2,0.48484848484848486,0.43442187186794606
239,2020-10-07,31,16,2,5,15,1,5,9,3,0.5632183908045977,0.4805205775982682
240,2020-10-08,31,17,0,2,10,1,5,11,3,0.55,0.45798555350687625
241,2020-10-09,25,7,0,3,17,0,3,22,5,0.573170731707317,0.5315055315055314
242,2020-10-10,47,19,2,2,6,0,2,20,4,0.5588235294117647,0.42211035357539245
243,2020-10-11,35,22,5,2,13,1,2,4,6,0.6,0.5552655265526553
244,2020-10-12,22,6,0,3,11,0,5,6,1,0.6296296296296297,0.5023538126986402
245,2020-10-13,40,18,0,9,15,0,4,25,9,0.5333333333333333,0.48985103422052045
